reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
43a690e0-6e22-4721-a2e7-b273ba98b420,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lumayan Bagus sihhh,5,0,,2026-07-26 22:31:22,,,
25a4f8c7-1777-4f06-bf5f-07baf9d9ba3c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,punya gw ngebut jir gbisa di download,1,0,17.4.0,2026-07-26 22:15:16,,,17.4.0
10e172aa-2148-428f-b4b0-39c4914ab5b4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,❤️,5,0,18.7.0,2026-07-26 22:02:39,,,18.7.0
983e7100-5e4e-410f-ad41-eea498190b29,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,slowmo doang harus berlangganan??situ kebelet haji apa gimana???,1,0,,2026-07-26 21:59:59,,,
2f992b75-6de0-4e0e-83d3-d9b65f783736,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagussss,5,0,18.1.0,2026-07-26 21:46:42,,,18.1.0
53951fc6-0e7a-474e-b4cb-d94aa2695932,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bagus dan menarik,1,0,,2026-07-26 21:45:02,,,
f8baac92-021c-4212-aedd-c4c1b4e04bca,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa tidak bisa di ekspor,3,0,18.7.0,2026-07-26 21:44:03,,,18.7.0
8abc9dd1-7eba-49bc-984e-562a01c06bd8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,update bug di suruh updet Mulu padhal udh update,1,0,13.8.0,2026-07-26 21:42:12,,,13.8.0
9cab41bd-a078-416c-b725-6359d405a957,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bguss buat editt,1,0,,2026-07-26 21:38:49,,,
e611d501-7a89-45dc-8899-10a7a00a18a2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,banyak yg sesat,1,0,18.8.0,2026-07-26 21:38:11,,,18.8.0
